"","X","id","text","title","abstract","keywords","methods","type","authors","affiliation","source","year","volume","issue","startpage","endpage","doi","language","database"
"36517",36517,"BCI:BCI200900111827","Effects off the invasive Asian clam Corbicula fluminea on benthic macroinvertebrate taxa in laboratory experiments The invasive burrowing bivalve Corbicula fluminea has an impact on ecosystern processes and oil organic matter dynamics in sediments. However, little is known about its effect oil benthic communities, especially oil macroinvertebrates. In laboratory experiments, we determined the effect of naturally Occurring densities of C fluminea (1012 ind. m(-2)) on ten macroinvertebrate taxa typical for the littoral zone of Lake Constance: two species of leeches, three species of gastropods, two amphipod species, one isopod, and two taxa of insect larvae (a stonefly and chironomids). We hypothesized that these benthic organisms might prefer C. fluminea over sand in pairwise habitat-choice experiments because Of structural and biotic effects of the bivalves. We distinguished between biotic effects of living infaunal C. fluminea that were either starved (only bioturbation) or fed with algae (biodeposition, bioturbation and nutrient real location), and we tested the importance of their Structural role using C. fluminea valves lying oil sand. No benthic taxa avoided areas with live C.fluminea or their valves. The detritivorous gastropod Lymnaea stagnalis and the amphipod Gammarus roeselii were found in higher numbers in areas with fed C. fluminea than in areas with sand. Starved clams were only preferred over sand by the amphipod Dike rogammarus villosus. The epifaunal taxa Erpobdella octoculata, Glossiphonia complanata (Hirdinea), D. villosus, G. roeselii (Amphipoda), Asellus aquaticus (Isopoda), and Centroptilum luteolum (Ephemeroptera) preferred areas with C fluminea valves to areas with sand. The Crustacean species and the leeches preferred valves over sand more than they preferred fed or starved living clams over sand. C. luteolum was the only taxon that responded differently to C. gastropods and chironomids did not show differences. We conclude fluminea in the three experiments, whereas g, that oil poorly structured sediments, valves of C. fluminea, which increase the surface area and Substrate diversity, could lead to an increase of most epifaunal benthic invertebrates.","Effects off the invasive Asian clam Corbicula fluminea on benthic macroinvertebrate taxa in laboratory experiments","The invasive burrowing bivalve Corbicula fluminea has an impact on ecosystern processes and oil organic matter dynamics in sediments. However, little is known about its effect oil benthic communities, especially oil macroinvertebrates. In laboratory experiments, we determined the effect of naturally Occurring densities of C fluminea (1012 ind. m(-2)) on ten macroinvertebrate taxa typical for the littoral zone of Lake Constance: two species of leeches, three species of gastropods, two amphipod species, one isopod, and two taxa of insect larvae (a stonefly and chironomids). We hypothesized that these benthic organisms might prefer C. fluminea over sand in pairwise habitat-choice experiments because Of structural and biotic effects of the bivalves. We distinguished between biotic effects of living infaunal C. fluminea that were either starved (only bioturbation) or fed with algae (biodeposition, bioturbation and nutrient real location), and we tested the importance of their Structural role using C. fluminea valves lying oil sand. No benthic taxa avoided areas with live C.fluminea or their valves. The detritivorous gastropod Lymnaea stagnalis and the amphipod Gammarus roeselii were found in higher numbers in areas with fed C. fluminea than in areas with sand. Starved clams were only preferred over sand by the amphipod Dike rogammarus villosus. The epifaunal taxa Erpobdella octoculata, Glossiphonia complanata (Hirdinea), D. villosus, G. roeselii (Amphipoda), Asellus aquaticus (Isopoda), and Centroptilum luteolum (Ephemeroptera) preferred areas with C fluminea valves to areas with sand. The Crustacean species and the leeches preferred valves over sand more than they preferred fed or starved living clams over sand. C. luteolum was the only taxon that responded differently to C. gastropods and chironomids did not show differences. We conclude fluminea in the three experiments, whereas g, that oil poorly structured sediments, valves of C. fluminea, which increase the surface area and Substrate diversity, could lead to an increase of most epifaunal benthic invertebrates.","species density, bioturbation, surface area, structural effect, benthic community, substrate diversity, biotic effect, biodeposition, nutrient reallocation","","Article","Werner, Stefan (Stefan.werner@uni-konstanz.de) ; Rothhaupt, Karl-Otto","Werner, Stefan; Univ Konstanz, Limnol Inst, Constance, Germany","Fundamental and Applied Limnology","2008","173","2","145","152","10.1127/1863-9135/2008/0173-0145","English","WoS_BIOSIS_CitIndex"
"36666",36666,"BCI:BCI200800419919","Temperature tolerance in soil microarthropods: Simulation of forest-fire heating in the laboratory Forest fires markedly reduce the abundance of surf ace-dwelling soil animals; animal densities also decline in soil layers underlying the char layer. The aim of the present study was to determine lethal temperatures for different species within the more abundant microarthropod groups in boreal forests, namely Collembola, Protura, Mesostigmata and Oribatida. In the laboratory, forest soil humus containing naturally occurring microarthropods was heated in plastic bags to avoid desiccation. Each sample was heated to one of 11 different temperatures between 20 and 60 degrees C for 1, 4, or 12 h. At the 1-h exposure, 36 degrees C was the highest temperature tolerated before significant decreases in numbers were detected. The corresponding temperatures after 4- and 12-h exposures were 34 degrees C for Oribatida and 30-32 degrees C for Collembola, Protura and Mesostigmata, respectively. Individual species responded differently, and the most heat-tolerant species within Oribatida was Tectocepheus velatus (40 degrees C at 4-h exposure) white Friesea mirabilis and Mesaphorura sp. (36 degrees C at 4-h exposure) were the most tolerant within Collembola. During a forest fire, temperatures higher than those tolerated by the investigated groups and species may well be reached. (C) 2008 Elsevier GmbH. All rights reserved.","Temperature tolerance in soil microarthropods Simulation of forest-fire heating in the laboratory","Forest fires markedly reduce the abundance of surf ace-dwelling soil animals; animal densities also decline in soil layers underlying the char layer. The aim of the present study was to determine lethal temperatures for different species within the more abundant microarthropod groups in boreal forests, namely Collembola, Protura, Mesostigmata and Oribatida. In the laboratory, forest soil humus containing naturally occurring microarthropods was heated in plastic bags to avoid desiccation. Each sample was heated to one of 11 different temperatures between 20 and 60 degrees C for 1, 4, or 12 h. At the 1-h exposure, 36 degrees C was the highest temperature tolerated before significant decreases in numbers were detected. The corresponding temperatures after 4- and 12-h exposures were 34 degrees C for Oribatida and 30-32 degrees C for Collembola, Protura and Mesostigmata, respectively. Individual species responded differently, and the most heat-tolerant species within Oribatida was Tectocepheus velatus (40 degrees C at 4-h exposure) white Friesea mirabilis and Mesaphorura sp. (36 degrees C at 4-h exposure) were the most tolerant within Collembola. During a forest fire, temperatures higher than those tolerated by the investigated groups and species may well be reached. (C) 2008 Elsevier GmbH. All rights reserved.","species density, soil temperature tolerance","","Article","Malmstrom, Anna (Anna.Matmstrom@ekol.slu.se)","Malmstrom, Anna; Swedish Univ Agr Sci, Dept Ecol, Box 7044, SE-75007 Uppsala, Sweden","Pedobiologia","2008","51","5-6","419","426","10.1016/j.pedobi.2008.01.001","English","WoS_BIOSIS_CitIndex"
"37078",37078,"BCI:BCI200700566975","The effect of litter quality and soil faunal composition on organic matter dynamics in post-mining soil: A laboratory study Laboratory microcosms were constructed consisting of mineral soil (alkaline clay spoil substrate from brown-coal mine tailings) and two types of litter: (1) taken from an unreclaimed site with naturally developed vegetation (mostly Salix caprea) or (2) collected from an alder plantation (a mixture of Alnus glutinosa and A. incana). Microcosms with both kinds of litter were inoculated with five different types of decomposer community: (1) microorganisms-only, (2) microorganisms + mesofauna, (3) microorganisms + mesofauna + litter feeding macro-arthropods (millipedes and diptern larvae), (4) microorganisms + mesofauna + litter dwelling earthworms (Dendrobaena octaedra and Dendrodrilus rubidus) and (5) microorganisms + mesofauna + Lumbricus rubellus. Microorganisms and animals used for microcosms inoculation were collected in the same sites as the litter used in the microcosms. Four replicates for each of 10 treatments were incubated in the dark at 15 degrees C for 90 days.The presence of macrofauna resulted in more extensive litter removal from the litter layer in microcosms derived from the reclaimed site, while in microcosms derived from the unreclaimed site, litter removal increased significantly only in the earthworm treatment. Litter removal was correlated with the accumulation of carbon in the mineral layer of the unreclaimed site microcosms (r = 0.802), while for the reclaimed site material it was correlated with C loss from the microcosms (r = 0.704). Removal of litter from the litter layer and accumulation of C and N in the mineral layer increased microbial respiration and biomass measured as total PLFA. (c) 2007 Elsevier B.V. All rights reserved.","The effect of litter quality and soil faunal composition on organic matter dynamics in post-mining soil A laboratory study","Laboratory microcosms were constructed consisting of mineral soil (alkaline clay spoil substrate from brown-coal mine tailings) and two types of litter: (1) taken from an unreclaimed site with naturally developed vegetation (mostly Salix caprea) or (2) collected from an alder plantation (a mixture of Alnus glutinosa and A. incana). Microcosms with both kinds of litter were inoculated with five different types of decomposer community: (1) microorganisms-only, (2) microorganisms + mesofauna, (3) microorganisms + mesofauna + litter feeding macro-arthropods (millipedes and diptern larvae), (4) microorganisms + mesofauna + litter dwelling earthworms (Dendrobaena octaedra and Dendrodrilus rubidus) and (5) microorganisms + mesofauna + Lumbricus rubellus. Microorganisms and animals used for microcosms inoculation were collected in the same sites as the litter used in the microcosms. Four replicates for each of 10 treatments were incubated in the dark at 15 degrees C for 90 days.The presence of macrofauna resulted in more extensive litter removal from the litter layer in microcosms derived from the reclaimed site, while in microcosms derived from the unreclaimed site, litter removal increased significantly only in the earthworm treatment. Litter removal was correlated with the accumulation of carbon in the mineral layer of the unreclaimed site microcosms (r = 0.802), while for the reclaimed site material it was correlated with C loss from the microcosms (r = 0.704). Removal of litter from the litter layer and accumulation of C and N in the mineral layer increased microbial respiration and biomass measured as total PLFA. (c) 2007 Elsevier B.V. All rights reserved.","mineral soil","litter removal; applied and field techniques","Article","Frouz, Jan (frouz@upb.cas.cz) ; Elhottova, Dana; Pizl, Vaclav; Tajousky, Karel; Sourkova, Monika; Picek, Tomas; Maly, Stanislav","Frouz, Jan; Acad Sci Czech Republic, Inst Soil Biol, Ctr Biol, Na Sadkach 7, CZ-37005 Ceske Budejovice, Czech Republic","Applied Soil Ecology","2007","37","1-2","72","80","10.1016/j.apsoil.2007.04.001","English","WoS_BIOSIS_CitIndex"
"37214",37214,"BCI:BCI200800097107","Influence of potassium fertilizer on life table parameters of laboratory populations of Bemisia tabaci Life table parameters of Bemisia tabaci (Gennadius) laboratory populations and potassium content in cucumber leaves were measured to determine the influence of potassium fertilizer on population growth of B. tabaci, by setting 0 mg/L, 30, 60, 120 and 240 mg/L potassium concentration treatments for cucumber plants. Results showed that potassium content in cucumber leaves did not increase with concentration of the applied potassium fertilizer solutions, the highest presenting in cucumber leaves treated with 30 mg/L K2O solution. The intrinsic rate of population increase (r(m)) of whitefly populations on cucumber plants treated with 0 mg/L to 240 mg/L potassium fertilizer were 0.14, 0.17, 0.17, 0.15 and 0.13, respectively; and the net reproductive rate (R-0) were 47.79, 111.55, 115.18, 61.96 and 49.58, respectively. Therefore, cucumber plants with high potassium content in leaves are suitable for whitefly population growth. Implications of the current results are discussed with reference to B. tabaci population regulation on cucumber plants.","Influence of potassium fertilizer on life table parameters of laboratory populations of Bemisia tabaci","Life table parameters of Bemisia tabaci (Gennadius) laboratory populations and potassium content in cucumber leaves were measured to determine the influence of potassium fertilizer on population growth of B. tabaci, by setting 0 mg/L, 30, 60, 120 and 240 mg/L potassium concentration treatments for cucumber plants. Results showed that potassium content in cucumber leaves did not increase with concentration of the applied potassium fertilizer solutions, the highest presenting in cucumber leaves treated with 30 mg/L K2O solution. The intrinsic rate of population increase (r(m)) of whitefly populations on cucumber plants treated with 0 mg/L to 240 mg/L potassium fertilizer were 0.14, 0.17, 0.17, 0.15 and 0.13, respectively; and the net reproductive rate (R-0) were 47.79, 111.55, 115.18, 61.96 and 49.58, respectively. Therefore, cucumber plants with high potassium content in leaves are suitable for whitefly population growth. Implications of the current results are discussed with reference to B. tabaci population regulation on cucumber plants.","","","Article","Lu Wei; Hou Mao-Lin (maolinhou@yahoo.com) ; Wen Ji-Hui; Li Jia-Wen","Lu Wei; Chinese Acad Agr Sci, Inst Plant Protect, State Key Lab Biol Plant Dis and Insects Pests, Beijing 100094, Peoples R China","Chinese Bulletin of Entomology","2007","44","5","722","726","","Chinese","WoS_BIOSIS_CitIndex"
"37329",37329,"BCI:BCI200800030471","Influence of baculovirus AdorGV on the mortality of larvae and pupae of summer fruit tortrix Adoxophyes orana in laboratory conditions The mortality of larvae and pupae of Adoxophyes orana was examined by keeping larvae of each larval instar (L1-L5) on an artificial diet in laboratory conditions. Larvae were infected by using an artificial diet containing AdorGV-based CAPEX (R) 2. Samples of uninfected larvae from each instar served as controls. The mortality of larvae infected in the 1(st) instar was 100%, compared to a mortality of 68% in the control. In both, the larvae died before the 5(th) larval instar. With larvae infected in subsequent instars the mortality rate declined gradually (96%-72%-40%-12%) and death occurred predominantly in the 5(th) larval instar. The mortality of larvae in the controls was low (12%-12%-0%-0%). The mortality of pupae from larvae infected in the 2(nd), 3(rd) and 4(th) instar was high (100%-86%-93%), and the mortality of larvae and pupae combined was close to 100%. Mortality of pupae developed from larvae infected in the 5th instar was 27% and that of larvae and pupae combined was 36%. The mortality of pupae developed from uninfected larvae in all controls was low (max. 8%). These results demonstrated the high efficacy of AdorGV to cause high mortality of larvae and pupae of Adoxophyes orana in laboratory conditions.","Influence of baculovirus AdorGV on the mortality of larvae and pupae of summer fruit tortrix Adoxophyes orana in laboratory conditions","The mortality of larvae and pupae of Adoxophyes orana was examined by keeping larvae of each larval instar (L1-L5) on an artificial diet in laboratory conditions. Larvae were infected by using an artificial diet containing AdorGV-based CAPEX (R) 2. Samples of uninfected larvae from each instar served as controls. The mortality of larvae infected in the 1(st) instar was 100%, compared to a mortality of 68% in the control. In both, the larvae died before the 5(th) larval instar. With larvae infected in subsequent instars the mortality rate declined gradually (96%-72%-40%-12%) and death occurred predominantly in the 5(th) larval instar. The mortality of larvae in the controls was low (12%-12%-0%-0%). The mortality of pupae from larvae infected in the 2(nd), 3(rd) and 4(th) instar was high (100%-86%-93%), and the mortality of larvae and pupae combined was close to 100%. Mortality of pupae developed from larvae infected in the 5th instar was 27% and that of larvae and pupae combined was 36%. The mortality of pupae developed from uninfected larvae in all controls was low (max. 8%). These results demonstrated the high efficacy of AdorGV to cause high mortality of larvae and pupae of Adoxophyes orana in laboratory conditions.","laboratory condition","","Article","Pepperny, Karel (karel.pepperny@mze.cz)","Pepperny, Karel; Minist Agr Czech Republic, Odbor Potravinarske Vyroby and Legislativy,Tesnov 1, Prague 11705 1, Czech Republic","Plant Protection Science","2007","43","3","94","102","","English","WoS_BIOSIS_CitIndex"
"37699",37699,"BCI:BCI201000072751","Emission of Volatile Organic Compounds After Herbivory from Trifolium pratense (L.) Under Laboratory and Field Conditions Plants emit a wide range of volatile organic compounds in response to damage by herbivores, and many of the compounds have been shown to attract the natural enemies of insect herbivores or serve for inter- and intra-plant communication. Most studies have focused on volatile emission in the laboratory while little is known about emission patterns in the field. We studied the emission of volatiles by Trifolium pratense (red clover) under both laboratory and field conditions. The emission of 24 compounds was quantified in the laboratory, of which eight showed increased emission rates after herbivory by Spodoptera littoralis caterpillars, including (E)-beta-ocimene, the most abundant compound, (Z)-beta-ocimene, linalool, (E)-beta-caryophyllene, (E,E)-alpha-farnesene, 4,8-dimethyl-1,3,7-nonatriene (DMNT), 1-octen-3-ol, and methyl salicylate (MeSA). While most of these compounds have been reported as herbivore-induced volatiles from a wide range of plant taxa, 1-octen-3-ol seems to be a characteristic volatile of legumes. In the field, T. pratense plants with varying herbivore damage growing in established grassland communities emitted only 13 detectable compounds, and the correlation between herbivore damage and volatile release was more variable than in the laboratory. For example, the emission of (E)-beta-ocimene, (Z)-beta-ocimene, and DMNT actually declined with damage, while decanal exhibited increased emission with increasing herbivory. Elevated light and temperature increased the emission of many compounds, but the differences in light and temperature conditions between the laboratory and the field could not account for the differences in emission profiles. Our results indicate that the release of volatiles from T. pratense plants in the field is likely to be influenced by additional biotic and abiotic factors not measured in this study. The elucidation of these factors may be important in understanding the physiological and ecological functions of volatiles in plants.","Emission of Volatile Organic Compounds After Herbivory from Trifolium pratense L Under Laboratory and Field Conditions","Plants emit a wide range of volatile organic compounds in response to damage by herbivores, and many of the compounds have been shown to attract the natural enemies of insect herbivores or serve for inter- and intra-plant communication. Most studies have focused on volatile emission in the laboratory while little is known about emission patterns in the field. We studied the emission of volatiles by Trifolium pratense (red clover) under both laboratory and field conditions. The emission of 24 compounds was quantified in the laboratory, of which eight showed increased emission rates after herbivory by Spodoptera littoralis caterpillars, including (E)-beta-ocimene, the most abundant compound, (Z)-beta-ocimene, linalool, (E)-beta-caryophyllene, (E,E)-alpha-farnesene, 4,8-dimethyl-1,3,7-nonatriene (DMNT), 1-octen-3-ol, and methyl salicylate (MeSA). While most of these compounds have been reported as herbivore-induced volatiles from a wide range of plant taxa, 1-octen-3-ol seems to be a characteristic volatile of legumes. In the field, T. pratense plants with varying herbivore damage growing in established grassland communities emitted only 13 detectable compounds, and the correlation between herbivore damage and volatile release was more variable than in the laboratory. For example, the emission of (E)-beta-ocimene, (Z)-beta-ocimene, and DMNT actually declined with damage, while decanal exhibited increased emission with increasing herbivory. Elevated light and temperature increased the emission of many compounds, but the differences in light and temperature conditions between the laboratory and the field could not account for the differences in emission profiles. Our results indicate that the release of volatiles from T. pratense plants in the field is likely to be influenced by additional biotic and abiotic factors not measured in this study. The elucidation of these factors may be important in understanding the physiological and ecological functions of volatiles in plants.","mechanical wounding, emission rate, volatile emission, herbivore damage, plant communication","","Article","Kigathi, Rose N. (R.Kigathi@uni-jena.de) ; Unsicker, Sybille B.; Reichelt, Michael; Kesselmeier, Juergen; Gershenzon, Jonathan; Weisser, Wolfgang W.","Kigathi, Rose N.; Univ Jena, Inst Ecol, Dornburger Str 159, D-07743 Jena, Germany","Journal of Chemical Ecology","2009","35","11","1335","1348","10.1007/s10886-009-9716-3","English","WoS_BIOSIS_CitIndex"
"37886",37886,"BCI:BCI200900570732","Weed-barley interactions affect plant acceptance by aphids in laboratory and field experiments Increased botanical diversity can lead to suppression of insect pests. One route by which botanical diversity is increased in crops is through the occurrence of weeds, which increasingly interact with crop plants as organic production expands. However, the mechanisms by which this might affect insect herbivores are poorly understood. This study examined whether volatile chemical interactions between weeds and barley, Hordeum vulgare L. (Poaceae), can affect plant acceptance by the bird cherry oat aphid, Rhopalosiphum padi L. (Hemiptera: Aphididae). In laboratory experiments, exposure of barley to volatiles from Chenopodium album L. (Amaranthaceae) and Solanum nigrum L. (Solanaceae) resulted in significantly reduced aphid acceptance compared with unexposed plants. In a series of field experiments in which the occurrence of weeds was manipulated in plots of barley, significantly lower aphid acceptance was recorded on barley plants grown in plots with C. album compared with barley plants in weedless plots. The results indicate that interaction between weeds and barley can affect aphid-plant interactions in the field as well as in the laboratory and provide further evidence that the effects of chemical interactions between visibly undamaged plants can extend to higher trophic levels.","Weed-barley interactions affect plant acceptance by aphids in laboratory and field experiments","Increased botanical diversity can lead to suppression of insect pests. One route by which botanical diversity is increased in crops is through the occurrence of weeds, which increasingly interact with crop plants as organic production expands. However, the mechanisms by which this might affect insect herbivores are poorly understood. This study examined whether volatile chemical interactions between weeds and barley, Hordeum vulgare L. (Poaceae), can affect plant acceptance by the bird cherry oat aphid, Rhopalosiphum padi L. (Hemiptera: Aphididae). In laboratory experiments, exposure of barley to volatiles from Chenopodium album L. (Amaranthaceae) and Solanum nigrum L. (Solanaceae) resulted in significantly reduced aphid acceptance compared with unexposed plants. In a series of field experiments in which the occurrence of weeds was manipulated in plots of barley, significantly lower aphid acceptance was recorded on barley plants grown in plots with C. album compared with barley plants in weedless plots. The results indicate that interaction between weeds and barley can affect aphid-plant interactions in the field as well as in the laboratory and provide further evidence that the effects of chemical interactions between visibly undamaged plants can extend to higher trophic levels.","plant-plant interaction, weed-barley interaction","","Article","Ninkovic, Velemir (Velemir.Ninkovic@ekol.slu.se) ; Glinwood, Robert; Dahlin, Iris","Ninkovic, Velemir; Swedish Univ Agr Sci, Dept Ecol, POB 7044, SE-75007 Uppsala, Sweden","Entomologia Experimentalis et Applicata","2009","133","1","38","45","10.1111/j.1570-7458.2009.00900.x","English","WoS_BIOSIS_CitIndex"
"37968",37968,"BCI:BCI201500162517","Efficiency of commercial entomopathogenic fungal species against different members of the genus Otiorhynchus (Coleoptera: Curculionidae) under laboratory and semi-field conditions The application of entomopathogenic fungi against weevils of the genus Otiorhynchus spp. might represent an environmentally friendly management option for biological control of these insects, which have recently increased in their importance as pests in a variety of horticultural plants. As only little information is available on the susceptibility of different weevils of this genus towards various fungal species, laboratory experiments were conducted to evaluate the control potential of three different commercially available entomopathogenic fungi (Beauveria bassiana, Isaria fumosorosea, Metarhizium anisopliae) against adults of O. sulcatus, O. raucus, O. dieckmanni, O. rugosostriatus and O. crataegi. Mortality rates were dependent on fungal and weevil species, respectively. Application of Naturalis((R)) containing B. bassiana as the active ingredient caused a significantly higher mortality rate than evident in control groups in four of the five Otiorhynchus species assessed. Adults of O. rugosostriatus were apparently not susceptible to any of the fungi tested. Efficacy of a single application of Naturalis((R)) against adult O. sulcatus was also assessed in three independent semi-field experiments. Weevils got infected during the first 14 days after application, but mortality rates did not substantially increase until 2 months after application. Even 6 months after application, mortality of weevils was caused by the respective applied B. bassiana strain, which was confirmed via an amplification of isolate-specific microsatellite markers. Thus, a single application of a B. bassiana-based product in the field could have long-term effects on population densities of respective weevils.","Efficiency of commercial entomopathogenic fungal species against different members of the genus Otiorhynchus Coleoptera Curculionidae under laboratory and semi-field conditions","The application of entomopathogenic fungi against weevils of the genus Otiorhynchus spp. might represent an environmentally friendly management option for biological control of these insects, which have recently increased in their importance as pests in a variety of horticultural plants. As only little information is available on the susceptibility of different weevils of this genus towards various fungal species, laboratory experiments were conducted to evaluate the control potential of three different commercially available entomopathogenic fungi (Beauveria bassiana, Isaria fumosorosea, Metarhizium anisopliae) against adults of O. sulcatus, O. raucus, O. dieckmanni, O. rugosostriatus and O. crataegi. Mortality rates were dependent on fungal and weevil species, respectively. Application of Naturalis((R)) containing B. bassiana as the active ingredient caused a significantly higher mortality rate than evident in control groups in four of the five Otiorhynchus species assessed. Adults of O. rugosostriatus were apparently not susceptible to any of the fungi tested. Efficacy of a single application of Naturalis((R)) against adult O. sulcatus was also assessed in three independent semi-field experiments. Weevils got infected during the first 14 days after application, but mortality rates did not substantially increase until 2 months after application. Even 6 months after application, mortality of weevils was caused by the respective applied B. bassiana strain, which was confirmed via an amplification of isolate-specific microsatellite markers. Thus, a single application of a B. bassiana-based product in the field could have long-term effects on population densities of respective weevils.","semi-field condition","","Article","Hirsch, Jacqueline; Reineke, Annette (Annette.Reineke@hs-gm.de)","Reineke, Annette; Geisenheim Univ, Dept Phytomed, Von Lade Str 1, D-65366 Geisenheim, Germany","Journal of Plant Diseases and Protection","2014","121","5","211","218","10.1007/BF03356513","English","WoS_BIOSIS_CitIndex"
"37989",37989,"BCI:BCI201500025838","Search for Alternative Methods for Stimulating Bumblebee Queen of Bombus terrestris L. During Laboratory Rearing Laboratory-reared queens need to be stimulated to oviposition by external stimuli. The most common method includes social stimulation by male cocoons, contact with a worker, and contact with another queen. In the first part of this study, the possibilities to replace a live cocoon with cocoon imitations and to increase success by adding smell stimulus of live cocoons were surveyed. Seventeen variants were tested in 4 experiments. The best results were achieved with stuffed male cocoons, but wool and polystyrene cocoons were also used. Although these cocoons were able to trigger continuous incubation behavior, not even a monthly incubation of these imitations initiated oviposition. The fact that incubation does not lead to laying eggs is a somewhat surprising finding which has not been published yet. It also seems that the addition of a smell stimulus fails to reinforce stimulation if the tactile and olfactory stimuli are not concentrated into a single object. In the second part, we surveyed whether the presence of a worker with prevented physical contact has the same stimulating effect on the neighboring queen as the presence of another queen. The presence of a worker without physical contact with the queen did not stimulate laying of eggs and, moreover, it was found that the presence of another queen has no stimulatory effect if the physical contact is prevented.","Search for Alternative Methods for Stimulating Bumblebee Queen of Bombus terrestris L During Laboratory Rearing","Laboratory-reared queens need to be stimulated to oviposition by external stimuli. The most common method includes social stimulation by male cocoons, contact with a worker, and contact with another queen. In the first part of this study, the possibilities to replace a live cocoon with cocoon imitations and to increase success by adding smell stimulus of live cocoons were surveyed. Seventeen variants were tested in 4 experiments. The best results were achieved with stuffed male cocoons, but wool and polystyrene cocoons were also used. Although these cocoons were able to trigger continuous incubation behavior, not even a monthly incubation of these imitations initiated oviposition. The fact that incubation does not lead to laying eggs is a somewhat surprising finding which has not been published yet. It also seems that the addition of a smell stimulus fails to reinforce stimulation if the tactile and olfactory stimuli are not concentrated into a single object. In the second part, we surveyed whether the presence of a worker with prevented physical contact has the same stimulating effect on the neighboring queen as the presence of another queen. The presence of a worker without physical contact with the queen did not stimulate laying of eggs and, moreover, it was found that the presence of another queen has no stimulatory effect if the physical contact is prevented.","physical contact, social stimulation","","Article","Votavova, Alena (votavova@vupt.cz)","Votavova, Alena; Agr Res Ltd, Zahradni 1, Troubsko 66441, Czech Republic","Pakistan Journal of Zoology","2014","46","5","1255","1261","","English","WoS_BIOSIS_CitIndex"
"38032",38032,"BCI:BCI201400790030","Field and Laboratory Evaluations of Chlorantraniliprole as a Termiticide in Southern Arizona The desert subterranean termite, Heterotermes aureus (Snyder), is the predominant termite of economic importance in the arid southwest. Chlorantraniliprole, a relatively new nonrepellent, slow acting termiticide has been shown to be capable of being transferred among colony members through social interactions, and thus may be effective beyond its original site of application. Using field grids, we evaluated the colony-level effects of chlorantraniliprole on H. aureus foraging activity. Repeated laboratory soil bioassays at 3, 15, 27 and 39 mo postapplication were performed to determine the effects of chlorantraniliprole on termite mortality and tunneling activity. Additionally, field tests of chlorantraniliprole were completed on 10 structures infested with H. aureus. In the experimental grids, the zone surrounded by a chlorantraniliprole perimeter was the only section in which a significant decrease in the number of termites collected occurred, but this was observed in both treatment and controls plots. Overall, no significant colony-level effects of chlorantraniliprole application were observed within the grids. Laboratory bioassays resulted in high mortality and significantly lower tunneling activity of exposed termites at all time points. In structures, the initial application of chlorantraniliprole was sufficient to control infestations in 6 out of 10 cases without supplemental applications. Additional treatments were confined to areas that had not been treated previously. Results show that chlorantraniliprole is capable of achieving control of desert subterranean termites under most conditions. This is likely a result of its high toxicity instead of colony-level effects resulting from termiticide transfer.","Field and Laboratory Evaluations of Chlorantraniliprole as a Termiticide in Southern Arizona","The desert subterranean termite, Heterotermes aureus (Snyder), is the predominant termite of economic importance in the arid southwest. Chlorantraniliprole, a relatively new nonrepellent, slow acting termiticide has been shown to be capable of being transferred among colony members through social interactions, and thus may be effective beyond its original site of application. Using field grids, we evaluated the colony-level effects of chlorantraniliprole on H. aureus foraging activity. Repeated laboratory soil bioassays at 3, 15, 27 and 39 mo postapplication were performed to determine the effects of chlorantraniliprole on termite mortality and tunneling activity. Additionally, field tests of chlorantraniliprole were completed on 10 structures infested with H. aureus. In the experimental grids, the zone surrounded by a chlorantraniliprole perimeter was the only section in which a significant decrease in the number of termites collected occurred, but this was observed in both treatment and controls plots. Overall, no significant colony-level effects of chlorantraniliprole application were observed within the grids. Laboratory bioassays resulted in high mortality and significantly lower tunneling activity of exposed termites at all time points. In structures, the initial application of chlorantraniliprole was sufficient to control infestations in 6 out of 10 cases without supplemental applications. Additional treatments were confined to areas that had not been treated previously. Results show that chlorantraniliprole is capable of achieving control of desert subterranean termites under most conditions. This is likely a result of its high toxicity instead of colony-level effects resulting from termiticide transfer.","social interaction, tunneling activity","laboratory soil bioassay; laboratory techniques","Article","Baker, Paul B. (pbaker@ag.arizona.edu) ; Miguelena, Javier G.","Baker, Paul B.; Univ Arizona, Dept Entomol, Forbes 410 POB 2100,36, Tucson, AZ 85721 USA","Journal of Economic Entomology","2014","107","5","1890","1899","10.1603/EC13484","English","WoS_BIOSIS_CitIndex"
